CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,crimeCaseNumber,Total Incidents
ordinal,ordinal,nominal,nominal,nominal,nominal,nominal,nominal,nominal,nominal,nominal,ratio,ratio,vector2,nominal,ratio,ratio
06/26/2018,4:25:00,3AJF,4700 EUGENE AVE,ROBBERY - CARJACKING,O,FIREARM,426,NORTHEASTERN,Moravia-Walther,-76.56088,39.33801,"(39.33801, -76.56088)",PARKING LO,,1
06/26/2018,3:40:00,7A,AV & W HOFFMAN ST,AUTO THEFT,O,,123,CENTRAL,Upton,-76.62861,39.29867,"(39.29867, -76.62861)",STREET,,1
06/26/2018,3:30:00,5D,6300 REISTERSTOWN RD,BURGLARY,I,,632,NORTHWESTERN,Glen,-76.7007,39.35504,"(39.35504, -76.7007)",RESTAURANT,,1
06/26/2018,2:19:00,6J,0 N ELLWOOD AVE,LARCENY,O,,222,SOUTHEASTERN,Patterson Park Neighborho,-76.57341,39.29296,"(39.29296, -76.57341)",STREET,,1
06/26/2018,2:15:00,5D,2500 WASHINGTON BLVD,BURGLARY,,,831,SOUTHWESTERN,Morrell Park,-76.65293,39.26622,"(39.26622, -76.65293)",,,1
06/26/2018,2:00:00,3AF,4000 WHITE AVE,ROBBERY - STREET,O,FIREARM,425,NORTHEASTERN,Glenham-Belhar,-76.54571,39.34588,"(39.34588, -76.54571)",STREET,,1
06/26/2018,1:40:00,5D,2300 BOSTON ST,BURGLARY,I,,232,SOUTHEASTERN,Canton,-76.58353,39.28263,"(39.28263, -76.58353)",CONVENIENC,,1
06/26/2018,1:00:00,7A,3100 HARFORD RD,AUTO THEFT,O,,411,NORTHEASTERN,Coldstream Homestead Mont,-76.58513,39.3264,"(39.3264, -76.58513)",STREET,,1
06/26/2018,0:53:00,9S,3700 CLIFTON AV,SHOOTING,,FIREARM,812,SOUTHWESTERN,Mount Holly,-76.67971,39.31081,"(39.31081, -76.67971)",Street,,1
06/26/2018,0:53:00,4A,3700 CLIFTON AVE,AGG. ASSAULT,O,FIREARM,812,SOUTHWESTERN,Mount Holly,-76.67971,39.31081,"(39.31081, -76.67971)",STREET,,1
06/26/2018,0:30:00,4C,500 W PRESTON ST,AGG. ASSAULT,O,OTHER,123,CENTRAL,Upton,-76.62719,39.29835,"(39.29835, -76.62719)",STREET,,1
06/26/2018,0:30:00,4E,1200 POPLAR GROVE ST,COMMON ASSAULT,I,,814,SOUTHWESTERN,Winchester,-76.66527,39.30175,"(39.30175, -76.66527)",ROW/TOWNHO,,1
06/26/2018,0:20:00,3B,3600 LYNDALE AVE,ROBBERY - STREET,O,,432,NORTHEASTERN,Belair-Edison,-76.56836,39.31662,"(39.31662, -76.56836)",STREET,,1
06/26/2018,0:00:00,6D,1100 COVINGTON ST,LARCENY FROM AUTO,,,943,SOUTHERN,Riverside,-76.60701,39.2771,"(39.2771, -76.60701)",,,1
