CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,crimeCaseNumber,Total Incidents
ordinal,ordinal,nominal,nominal,nominal,nominal,nominal,nominal,nominal,nominal,ratio,ratio,vector2,nominal,ratio,ratio
06/29/2018,18:00:00,6E,5300 MAPLE AVE,LARCENY,O,,633,NORTHWESTERN,Pimlico Good Neighbors,-76.67765,39.35147,"(39.35147, -76.67765)",STREET,,1
06/29/2018,17:45:00,4E,,COMMON ASSAULT,I,,531,NORTHERN,,,,,OTHER - IN,,1
06/29/2018,17:00:00,4E,600 SAVAGE ST,COMMON ASSAULT,I,,242,SOUTHEASTERN,Greektown,-76.55211,39.28599,"(39.28599, -76.55211)",GROCERY/CO,,1
06/29/2018,17:00:00,6D,200 W SARATOGA ST,LARCENY FROM AUTO,O,,111,CENTRAL,Downtown,-76.61823,39.29298,"(39.29298, -76.61823)",OTHER - OU,,1
06/29/2018,17:00:00,6G,2300 WINCHESTER ST,LARCENY,I,,723,WESTERN,Bridgeview/Greenlawn,-76.6545,39.30172,"(39.30172, -76.6545)",ROW/TOWNHO,,1
06/29/2018,16:42:00,6C,3200 SAINT PAUL ST,LARCENY,I,,512,NORTHERN,Charles Village,-76.61604,39.3271,"(39.3271, -76.61604)",DRUG STORE,,1
06/29/2018,16:30:00,5A,200 N LINWOOD AVE,BURGLARY,,,221,SOUTHEASTERN,McElderry Park,-76.57639,39.2948,"(39.2948, -76.57639)",,,1
06/29/2018,16:30:00,6G,5600 LOCH RAVEN BLVD,LARCENY,I,,415,NORTHEASTERN,Loch Raven,-76.58856,39.35952,"(39.35952, -76.58856)",OTHER - IN,,1
06/29/2018,16:15:00,6D,ST & N MARTIN LUTHER KING JR BL,LARCENY FROM AUTO,,,132,CENTRAL,Upton,-76.6235,39.29911,"(39.29911, -76.6235)",,,1
06/29/2018,16:00:00,4D,100 S FRANKLINTOWN RD,AGG. ASSAULT,O,HANDS,842,SOUTHWESTERN,Shipley Hill,-76.65821,39.2856,"(39.2856, -76.65821)",STREET,,1
06/29/2018,16:00:00,6G,3900 ERDMAN AVE,LARCENY,I,,434,NORTHEASTERN,Belair-Edison,-76.56857,39.31485,"(39.31485, -76.56857)",LAUNDRY/CL,,1
06/29/2018,15:58:00,4E,2600 EDMONDSON AVE,COMMON ASSAULT,I,,721,WESTERN,Rosemont Homeowners/Tenan,-76.65958,39.29458,"(39.29458, -76.65958)",GROCERY/CO,,1
06/29/2018,15:26:00,6C,2500 N CHARLES ST,LARCENY,I,,512,NORTHERN,Charles Village,-76.61706,39.31819,"(39.31819, -76.61706)",DRUG STORE,,1
06/29/2018,15:00:00,4E,4500 EDMONDSON AVE,COMMON ASSAULT,O,,822,SOUTHWESTERN,Rognel Heights,-76.69292,39.29349,"(39.29349, -76.69292)",STREET,,1
06/29/2018,14:49:00,6D,100 N HIGHLAND AVE,LARCENY FROM AUTO,,,223,SOUTHEASTERN,Baltimore Highlands,-76.56951,39.29437,"(39.29437, -76.56951)",,,1
06/29/2018,14:00:00,7A,1500 N STRICKER ST,AUTO THEFT,O,,742,WESTERN,Sandtown-Winchester,-76.64197,39.30594,"(39.30594, -76.64197)",PARKING LO,,1
06/29/2018,13:57:00,6C,2400 LIBERTY HEIGHTS AVE,LARCENY,I,,731,WESTERN,Mondawmin,-76.65399,39.31868,"(39.31868, -76.65399)",RETAIL/SMA,,1
06/29/2018,13:23:00,5B,400 NORTH BEND RD,BURGLARY,I,,823,SOUTHWESTERN,Westgate,-76.70926,39.2848,"(39.2848, -76.70926)",ROW/TOWNHO,,1
06/29/2018,13:15:00,6C,2500 N CHARLES ST,LARCENY,I,,512,NORTHERN,Charles Village,-76.61706,39.31819,"(39.31819, -76.61706)",DRUG STORE,,1
06/29/2018,13:00:00,4C,1300 CHURCH ST,AGG. ASSAULT,,OTHER,911,SOUTHERN,Curtis Bay,-76.59234,39.22272,"(39.22272, -76.59234)",,,1
06/29/2018,13:00:00,4E,2700 PARKWOOD AVE,COMMON ASSAULT,I,,732,WESTERN,Parkview/Woodbrook,-76.64547,39.31465,"(39.31465, -76.64547)",ROW/TOWNHO,,1
06/29/2018,13:00:00,5A,900 W LEXINGTON ST,BURGLARY,I,,712,WESTERN,Poppleton,-76.63255,39.29105,"(39.29105, -76.63255)",ROW/TOWNHO,,1
06/29/2018,13:00:00,5A,400 EVESHAM AVE,BURGLARY,I,,522,NORTHERN,Lake Evesham,-76.61149,39.36535,"(39.36535, -76.61149)",ROW/TOWNHO,,1
06/29/2018,13:00:00,6E,3000 AUCHENTOROLY TER,LARCENY,O,,732,WESTERN,Parkview/Woodbrook,-76.6459,39.31652,"(39.31652, -76.6459)",STREET,,1
06/29/2018,13:00:00,7A,3300 ALTO RD,AUTO THEFT,O,,641,NORTHWESTERN,Hanlon-Longwood,-76.67314,39.31745,"(39.31745, -76.67314)",STREET,,1
06/29/2018,13:00:00,7A,3900 GWYNNS FALLS PKWY,AUTO THEFT,O,,641,NORTHWESTERN,Windsor Hills,-76.68169,39.314,"(39.314, -76.68169)",STREET,,1
06/29/2018,12:51:00,4C,1600 CEREAL ST,AGG. ASSAULT,I,OTHER,911,SOUTHERN,Curtis Bay,-76.58718,39.22178,"(39.22178, -76.58718)",ROW/TOWNHO,,1
06/29/2018,12:26:00,6G,1300 N CALHOUN ST,LARCENY,I,,743,WESTERN,Sandtown-Winchester,-76.64052,39.3053,"(39.3053, -76.64052)",OTHER - IN,,1
06/29/2018,12:00:00,4E,2100 FLEET ST,COMMON ASSAULT,I,,232,SOUTHEASTERN,Canton,-76.58628,39.28482,"(39.28482, -76.58628)",ROW/TOWNHO,,1
06/29/2018,12:00:00,6E,2400 N LONGWOOD ST,LARCENY,O,,641,NORTHWESTERN,Hanlon-Longwood,-76.66794,39.31499,"(39.31499, -76.66794)",STREET,,1
06/29/2018,10:41:00,4E,1500 NORTHGATE RD,COMMON ASSAULT,O,,412,NORTHEASTERN,Hillen,-76.5906,39.34512,"(39.34512, -76.5906)",STREET,,1
06/29/2018,10:20:00,4E,1800 N CHARLES ST,COMMON ASSAULT,I,,141,CENTRAL,Charles North,-76.61651,39.30988,"(39.30988, -76.61651)",OTHER - IN,,1
06/29/2018,10:00:00,6E,1300 COCHRAN AVE,LARCENY,O,,414,NORTHEASTERN,Woodbourne Heights,-76.59345,39.35651,"(39.35651, -76.59345)",STREET,,1
06/29/2018,9:15:00,4B,2400 W FRANKLIN ST,AGG. ASSAULT,I,KNIFE,842,WESTERN,Penrose/Fayette Street Ou,-76.6555,39.29334,"(39.29334, -76.6555)",OTHER - IN,,1
06/29/2018,9:15:00,6C,2400 W FRANKLIN ST,LARCENY,I,,842,WESTERN,Penrose/Fayette Street Ou,-76.6555,39.29334,"(39.29334, -76.6555)",OTHER - IN,,1
06/29/2018,9:00:00,4E,1200 N LUZERNE AVE,COMMON ASSAULT,I,,332,EASTERN,Berea,-76.58125,39.30543,"(39.30543, -76.58125)",ROW/TOWNHO,,1
