Date,Time,Address,Crime,Inside/Outside,Weapon,PostCode,District,Neighborhood,Longitude,Latitude,Location,Premise
interval+date,interval+minute,nominal,ordinal,nominal,nominal,nominal,nominal,nominal,ratio,ratio,vector2,nominal
43288,1149,4300 GREENHILL AVE,0,O,FIREARM,442,NORTHEASTERN,Parkside,-76.55908,39.32473,"(39.32473, -76.55908)",STREET
43288,1140,400 E PRATT ST,0,O,HANDS,112,CENTRAL,Inner Harbor,-76.6098,39.28668,"(39.28668, -76.6098)",STREET
43288,1140,PRATT ST & S GAY ST,5,O,,112,CENTRAL,Inner Harbor,-76.6087,39.28669,"(39.28669, -76.6087)",STREET
43288,1095,1800 PENNSYLVANIA AV,14,,FIREARM,123,CENTRAL,Upton,-76.63571,39.30436,"(39.30436, -76.63571)",Street
43288,1095,AV & LAURENS ST,0,O,FIREARM,123,CENTRAL,Upton,-76.6356,39.3043,"(39.3043, -76.6356)",STREET
43288,1088,200 WATER ST,8,O,,111,CENTRAL,Downtown,-76.61153,39.28833,"(39.28833, -76.61153)",PARKING LO
43288,1060,2400 E CHASE ST,8,O,,322,EASTERN,Biddle Street,-76.58311,39.3037,"(39.3037, -76.58311)",STREET
43288,974,6800 FAIRLAWN AV,14,,FIREARM,631,NORTHWESTERN,Reisterstown Station,-76.70956,39.3588,"(39.3588, -76.70956)",Street
43288,989,600 CHERRY HILL RD,5,I,,922,SOUTHERN,Cherry Hill,-76.6223,39.2503,"(39.2503, -76.6223)",BARBER/BEA
43288,972,6800 FAIRLAWN AVE,0,O,FIREARM,631,NORTHWESTERN,Reisterstown Station,-76.70956,39.3588,"(39.3588, -76.70956)",STREET
43288,960,1900 SWANSEA RD,5,I,,415,NORTHEASTERN,Loch Raven,-76.57974,39.35572,"(39.35572, -76.57974)",ROW/TOWNHO
43288,940,3900 RIDGECROFT RD,5,I,,426,NORTHEASTERN,Waltherson,-76.5578,39.33756,"(39.33756, -76.5578)",ROW/TOWNHO
43288,940,3900 RIDGECROFT RD,5,I,,426,NORTHEASTERN,Waltherson,-76.5578,39.33756,"(39.33756, -76.5578)",ROW/TOWNHO
43288,400,2400 BARCLAY ST,2,I,,341,EASTERN,Barclay,-76.61138,39.31765,"(39.31765, -76.61138)",GROCERY/CO
43288,915,AV & N MARTIN LUTHER KING J,8,O,,121,CENTRAL,Heritage Crossing,-76.62629,39.29677,"(39.29677, -76.62629)",STREET
43288,900,600 N LUZERNE AVE,5,I,,221,SOUTHEASTERN,McElderry Park,-76.5808,39.2982,"(39.2982, -76.5808)",ROW/TOWNHO
43288,885,5500 WHITBY RD,0,I,KNIFE,441,NORTHEASTERN,Cedonia,-76.53108,39.33433,"(39.33433, -76.53108)",ROW/TOWNHO
43288,870,4700 MELBOURNE RD,2,I,,833,SOUTHWESTERN,Beechfield,-76.69508,39.27225,"(39.27225, -76.69508)",ROW/TOWNHO
43288,865,4400 HARFORD RD,7,I,,422,NORTHEASTERN,Beverly Hills,-76.5726,39.3397,"(39.3397, -76.5726)",SPECIALTY
43288,862,4200 SHAMROCK AVE,11,I,,442,NORTHEASTERN,Belair-Edison,-76.56459,39.32764,"(39.32764, -76.56459)",SPECIALTY
43288,862,2200 E MONUMENT ST,11,I,,321,EASTERN,Middle East,-76.58606,39.29871,"(39.29871, -76.58606)",SPECIALTY
43288,855,3400 PULASKI HWY,0,I,KNIFE,223,SOUTHEASTERN,Baltimore Highlands,-76.56937,39.29603,"(39.29603, -76.56937)",FAST FOOD
43288,830,600 N HILTON ST,8,O,,844,SOUTHWESTERN,Edgewood,-76.67281,39.2948,"(39.2948, -76.67281)",PARKING LO
43288,826,1500 HAZEL ST,5,I,,911,SOUTHERN,Curtis Bay,-76.58975,39.22601,"(39.22601, -76.58975)",APT/CONDO
43288,787,1400 PARK AVE,8,O,,132,CENTRAL,Bolton Hill,-76.62423,39.30709,"(39.30709, -76.62423)",STREET
43288,780,2100 DRUID PARK DR,2,O,,533,NORTHERN,Woodberry,-76.6504,39.3315,"(39.3315, -76.6504)",SHED/GARAG
43288,780,2500 W LOMBARD ST,7,I,,842,SOUTHWESTERN,Shipley Hill,-76.65659,39.28573,"(39.28573, -76.65659)",ROW/TOWNHO
43288,770,3300 ELMORA AVE,13,O,,434,NORTHEASTERN,Four By Four,-76.57698,39.31592,"(39.31592, -76.57698)",STREET
43288,770,AV & N MARTIN LUTHER KING J,8,O,,121,CENTRAL,Heritage Crossing,-76.62629,39.29677,"(39.29677, -76.62629)",STREET
43288,720,200 S CASTLE ST,2,I,,212,SOUTHEASTERN,Upper Fells Point,-76.58809,39.28882,"(39.28882, -76.58809)",ROW/TOWNHO
43288,720,300 N EUTAW ST,3,O,,111,CENTRAL,Downtown,-76.62119,39.29298,"(39.29298, -76.62119)",STREET
43288,720,1100 PARK AVE,3,O,,132,CENTRAL,Bolton Hill,-76.62113,39.30482,"(39.30482, -76.62113)",STREET
43288,705,200 SAINT PAUL PL,2,I,,111,CENTRAL,Downtown,-76.61402,39.29177,"(39.29177, -76.61402)",HOTEL/MOTE
43288,705,200 SAINT PAUL PL,2,I,,111,CENTRAL,Downtown,-76.61402,39.29177,"(39.29177, -76.61402)",HOTEL/MOTE
43288,690,200 E PRATT ST,7,I,,112,CENTRAL,Inner Harbor,-76.61204,39.28659,"(39.28659, -76.61204)",SPECIALTY
43288,678,0 LIGHT ST,7,I,,111,CENTRAL,Downtown,-76.61372,39.28843,"(39.28843, -76.61372)",CLOTHING/S
43288,660,5900 DAYWALT AVE,0,I,OTHER,441,NORTHEASTERN,Cedonia,-76.53015,39.3291,"(39.3291, -76.53015)",APT/CONDO
43288,660,100 N HILTON ST,0,O,OTHER,842,SOUTHWESTERN,Saint Josephs,-76.6724,39.28707,"(39.28707, -76.6724)",STREET
43288,630,6300 BOSTON ST,0,I,OTHER,243,SOUTHEASTERN,O'Donnell Heights,-76.53862,39.27814,"(39.27814, -76.53862)",ROW/TOWNHO
43288,540,700 E 25TH ST,7,I,,342,NORTHEASTERN,East Baltimore Midway,-76.60366,39.3183,"(39.3183, -76.60366)",CONVENIENC
43288,500,2400 LIBERTY HEIGHTS AVE,2,I,,731,WESTERN,Mondawmin,-76.65399,39.31868,"(39.31868, -76.65399)",CLOTHING/S
43288,475,1600 LORMAN CT,7,I,,743,WESTERN,Sandtown-Winchester,-76.64363,39.30415,"(39.30415, -76.64363)",ROW/TOWNHO
